RiverTools ChannelProfile
 
Number of profile points: 166
 
          Distance              Elev     Col     Row     Longitude      Latitude
      214.71200562     1085.55346680      60      59   35.23791667    8.50375000
      216.54707336     1063.91088867      59      59   35.22125000    8.50375000
      218.38214111      992.23059082      58      59   35.20458333    8.50375000
      220.21720886      992.23059082      57      59   35.18791667    8.50375000
      222.05227661      992.23059082      56      59   35.17125000    8.50375000
      223.88734436      951.79919434      55      59   35.15458333    8.50375000
      225.73065186      943.52795410      54      59   35.13791667    8.50375000
      227.56579590      943.52795410      54      60   35.13791667    8.48708333
      229.40093994      943.52795410      53      60   35.12125000    8.48708333
      232.00199890      943.52795410      52      60   35.10458333    8.48708333
      233.83706665      943.52795410      51      59   35.08791667    8.50375000
      235.67213440      943.52795410      50      59   35.07125000    8.50375000
      238.27314758      943.52795410      49      59   35.05458333    8.50375000
      240.10829163      943.52795410      48      60   35.03791667    8.48708333
      242.70935059      943.52795410      47      60   35.02125000    8.48708333
      244.55265808      943.52795410      46      61   35.00458333    8.47041667
      247.15382385      919.01562500      46      62   35.00458333    8.45375000
      248.99713135      846.63848877      45      63   34.98791667    8.43708333
      250.84043884      846.63848877      45      64   34.98791667    8.42041667
      252.68374634      846.63848877      45      65   34.98791667    8.40375000
      255.28514099      846.63848877      45      66   34.98791667    8.38708333
      257.12844849      807.33300781      44      67   34.97125000    8.37041667
      258.97174072      807.33300781      44      68   34.97125000    8.35375000
      261.57330322      771.44464111      44      69   34.97125000    8.33708333
      263.41659546      771.44464111      45      70   34.98791667    8.32041667
      265.25988770      771.44464111      45      71   34.98791667    8.30375000
      267.10317993      721.67163086      45      72   34.98791667    8.28708333
      269.70495605      721.67163086      45      73   34.98791667    8.27041667
      271.54824829      655.97375488      44      74   34.97125000    8.25375000
      274.15011597      644.76690674      44      75   34.97125000    8.23708333
      275.99340820      644.76690674      43      76   34.95458333    8.22041667
      277.83670044      644.76690674      43      77   34.95458333    8.20375000
      279.67324829      584.48022461      43      78   34.95458333    8.18708333
      281.50979614      584.48022461      42      78   34.93791667    8.18708333
      283.34634399      584.48022461      41      78   34.92125000    8.18708333
      285.18289185      564.80749512      40      78   34.90458333    8.18708333
      287.01943970      564.80749512      39      78   34.88791667    8.18708333
      288.85598755      492.54699707      38      78   34.87125000    8.18708333
      290.69253540      488.80221558      37      78   34.85458333    8.18708333
      292.52908325      488.80221558      36      78   34.83791667    8.18708333
      295.13110352      488.80221558      35      78   34.82125000    8.18708333
      297.73318481      488.80221558      34      79   34.80458333    8.17041667
      299.56973267      488.80221558      33      78   34.78791667    8.18708333
      301.41302490      469.66714478      32      78   34.77125000    8.18708333
      303.24963379      465.56866455      32      79   34.77125000    8.17041667
      305.08624268      465.56866455      31      79   34.75458333    8.17041667
      306.92285156      465.56866455      30      79   34.73791667    8.17041667
      309.52493286      465.56866455      29      79   34.72125000    8.17041667
      312.12707520      465.36999512      28      80   34.70458333    8.15375000
      313.96368408      465.36999512      27      79   34.68791667    8.17041667
      316.56576538      446.35705566      26      79   34.67125000    8.17041667
      319.16778564      445.31622314      25      78   34.65458333    8.18708333
      321.76977539      445.31622314      24      77   34.63791667    8.20375000
      323.60617065      443.58489990      23      76   34.62125000    8.22041667
      326.20809937      442.72589111      22      76   34.60458333    8.22041667
      328.04440308      442.72589111      21      75   34.58791667    8.23708333
      329.88070679      440.50781250      20      75   34.57125000    8.23708333
      331.71701050      436.05819702      19      75   34.55458333    8.23708333
      334.31887817      436.05819702      18      75   34.53791667    8.23708333
      336.15527344      436.05819702      17      76   34.52125000    8.22041667
      338.75720215      434.42816162      16      76   34.50458333    8.22041667
      341.35906982      434.42816162      15      75   34.48791667    8.23708333
      343.19546509      432.82861328      14      76   34.47125000    8.22041667
      345.03186035      432.70944214      13      76   34.45458333    8.22041667
      346.86825562      432.02722168      12      76   34.43791667    8.22041667
      348.70465088      429.85714722      11      76   34.42125000    8.22041667
